latitude,longitude,country_code,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
-34.89666667,-60.425,ARG,,,,,5.5,23.0,7.1,21.0,36.0,43.0,
-34.89666667,-60.425,ARG,,,,,5.0,6.4,7.2,23.0,38.0,39.0,
-34.89666667,-60.425,ARG,,,,,4.8,3.2,7.4,22.0,33.0,45.0,
-34.89666667,-60.425,ARG,,,,,5.0,1.6,7.5,21.0,32.0,47.0,
-34.89666667,-60.425,ARG,,,,,5.2,1.6,7.6,18.0,33.0,49.0,
-33.89583333,-60.33611111,ARG,,0.0,,,0.1,19.8,5.4,26.0,66.0,8.0,
-33.89583333,-60.33611111,ARG,,0.0,,,0.1,16.2,5.5,26.0,67.0,7.0,
-33.89583333,-60.33611111,ARG,,0.0,,,0.1,11.1,5.5,32.0,60.0,8.0,
-33.89583333,-60.33611111,ARG,,0.0,,,0.1,7.0,6.0,43.0,51.0,6.0,
-33.89583333,-60.33611111,ARG,,1.0,,,0.1,3.5,6.5,37.0,56.0,7.0,
-33.89583333,-60.33611111,ARG,,1.0,,,0.1,1.0,6.5,31.0,61.0,8.0,
-33.68055556,-60.05277778,ARG,,0.0,,,0.1,24.8,5.9,29.0,66.0,5.0,
-33.68055556,-60.05277778,ARG,,0.0,,,0.1,17.0,6.3,32.0,64.0,4.0,
-33.68055556,-60.05277778,ARG,,0.0,,,0.1,9.9,6.4,34.0,61.0,5.0,
-33.68055556,-60.05277778,ARG,,,,,,7.6,6.9,57.0,40.0,3.0,
-33.68055556,-60.05277778,ARG,,,,,,2.1,7.4,39.0,57.0,4.0,
-33.68055556,-60.05277778,ARG,,,,,,0.8,8.3,26.0,66.0,8.0,
-33.96944444,-59.53194444,ARG,,0.0,,,0.1,21.5,5.8,26.0,60.0,14.0,
-33.96944444,-59.53194444,ARG,,0.0,,,0.1,19.6,6.0,28.0,56.0,16.0,
-33.96944444,-59.53194444,ARG,,0.0,,,0.1,10.7,6.2,58.0,36.0,6.0,
-33.96944444,-59.53194444,ARG,,,,,,2.3,7.1,40.0,49.0,11.0,
-33.96944444,-59.53194444,ARG,,53.0,,,,1.6,8.1,29.0,56.0,15.0,
-33.96944444,-59.53194444,ARG,,45.0,,,,1.0,7.9,28.0,58.0,14.0,
-34.07833333,-59.78472222,ARG,,0.0,,,0.1,20.2,6.1,24.0,63.0,13.0,
-34.07833333,-59.78472222,ARG,,0.0,,,0.1,12.9,6.3,31.0,55.0,14.0,
-34.07833333,-59.78472222,ARG,,,,,,7.0,6.9,48.0,42.0,10.0,
-34.07833333,-59.78472222,ARG,,,,,,3.9,7.2,38.0,50.0,12.0,
-34.07833333,-59.78472222,ARG,,,,,,2.7,7.3,30.0,56.0,14.0,
-34.07833333,-59.78472222,ARG,,149.0,,,,1.8,8.5,,,,
-34.10277778,-60.41666667,ARG,,0.0,,,0.1,22.6,6.2,21.0,64.0,15.0,
-34.10277778,-60.41666667,ARG,,0.0,,,0.1,19.2,6.2,25.0,63.0,12.0,
-34.10277778,-60.41666667,ARG,,1.0,,,0.1,9.2,6.5,27.0,58.0,15.0,
-34.10277778,-60.41666667,ARG,,,,,,5.4,6.6,32.0,53.0,15.0,
-34.10277778,-60.41666667,ARG,,,,,,5.1,6.7,40.0,48.0,12.0,
-34.10277778,-60.41666667,ARG,,,,,,2.4,6.9,26.0,54.0,20.0,
-33.86388889,-60.66805556,ARG,,0.0,,,0.1,16.9,5.9,23.0,65.0,12.0,
-33.86388889,-60.66805556,ARG,,0.0,,,0.1,14.8,6.1,23.0,65.0,12.0,
-33.86388889,-60.66805556,ARG,,0.0,,,0.1,8.7,6.2,30.0,57.0,13.0,
-33.86388889,-60.66805556,ARG,,0.0,,,0.1,6.4,6.3,44.0,48.0,8.0,
-33.86388889,-60.66805556,ARG,,0.0,,,0.1,2.4,6.4,17.0,66.0,17.0,
-33.86388889,-60.66805556,ARG,,1.0,,,,1.5,7.3,7.0,70.0,23.0,
-33.95138889,-60.55416667,ARG,,0.0,,,0.1,16.0,6.2,22.0,62.0,16.0,
-33.95138889,-60.55416667,ARG,,,,,,7.2,6.8,20.0,63.0,17.0,
-33.95138889,-60.55416667,ARG,,,,,,5.0,7.3,33.0,53.0,14.0,
-33.95138889,-60.55416667,ARG,,,,,,2.7,8.0,35.0,48.0,17.0,
-33.95138889,-60.55416667,ARG,,42.0,,,,1.0,8.8,21.0,64.0,15.0,
-33.95138889,-60.55416667,ARG,,,,,,1.0,8.5,20.0,59.0,21.0,
-34.97555556,-59.12527778,ARG,,0.0,,,0.1,27.5,5.2,22.0,64.0,14.0,
-34.97555556,-59.12527778,ARG,,0.0,,,0.1,7.7,6.2,17.0,65.0,18.0,
-34.97555556,-59.12527778,ARG,,,,,2.3,4.6,7.3,,,,
-34.97555556,-59.12527778,ARG,,,,,1.8,2.6,7.7,43.0,43.0,14.0,
-34.97555556,-59.12527778,ARG,,1.0,,,2.1,2.4,7.3,27.0,59.0,14.0,
-33.63472222,-60.45833333,ARG,,5.0,,,,7.5,9.5,25.0,63.0,12.0,
-33.63472222,-60.45833333,ARG,,18.0,,,,3.3,9.4,59.0,34.0,7.0,
-33.63472222,-60.45833333,ARG,,15.0,,,,2.3,9.1,36.0,54.0,10.0,
-33.79305556,-60.28333333,ARG,,4.0,,,,9.4,9.1,18.0,75.0,7.0,
-33.79305556,-60.28333333,ARG,,9.0,,,,6.8,9.9,27.0,67.0,6.0,
-33.79305556,-60.28333333,ARG,,22.0,,,,5.4,9.8,44.0,53.0,3.0,
-33.79305556,-60.28333333,ARG,,29.0,,,,3.2,9.5,36.0,59.0,5.0,
-33.79305556,-60.28333333,ARG,,13.0,,,,1.8,9.0,20.0,73.0,7.0,
-33.79305556,-60.28333333,ARG,,26.0,,,,1.2,8.6,16.0,79.0,5.0,
-33.26944444,-60.85,ARG,,0.0,,,0.1,17.5,5.6,24.0,70.0,6.0,
-33.26944444,-60.85,ARG,,,,,,13.0,6.6,24.0,68.0,8.0,
-33.26944444,-60.85,ARG,,9.0,,,,4.0,8.5,49.0,47.0,4.0,
-33.26944444,-60.85,ARG,,30.0,,,,1.7,8.7,34.0,61.0,5.0,
-33.26944444,-60.85,ARG,,15.0,,,,1.1,8.4,28.0,67.0,5.0,
-33.26944444,-60.85,ARG,,15.0,,,,0.9,8.0,23.0,71.0,6.0,
-33.55833333,-60.81666667,ARG,,0.0,,,0.1,15.0,6.2,19.0,73.0,8.0,
-33.55833333,-60.81666667,ARG,,,,,,11.1,7.5,15.0,79.0,6.0,
-33.55833333,-60.81666667,ARG,,1.0,,,,7.1,8.6,41.0,54.0,5.0,
-33.55833333,-60.81666667,ARG,,37.0,,,,2.5,9.2,21.0,74.0,5.0,
-33.55833333,-60.81666667,ARG,,2.0,,,,1.0,8.6,17.0,74.0,9.0,
-33.55833333,-60.81666667,ARG,,52.0,,,,1.0,8.3,15.0,77.0,8.0,
-31.5,-58.16666667,ARG,,0.0,,,0.1,20.0,6.0,23.0,37.0,40.0,
-31.5,-58.16666667,ARG,,0.0,,,0.1,17.0,6.2,24.0,35.0,41.0,
-31.5,-58.16666667,ARG,,0.0,,,0.1,10.0,6.4,44.0,25.0,31.0,
-31.5,-58.16666667,ARG,,,,,,6.0,7.2,44.0,26.0,30.0,
-31.5,-58.16666667,ARG,,13.0,,,,5.0,8.0,41.0,28.0,31.0,
-31.5,-58.16666667,ARG,,,,,,1.0,7.8,37.0,32.0,31.0,
-37.28333333,-65.45,ARG,,7.0,,,,4.0,8.1,6.0,16.0,78.0,
-37.28333333,-65.45,ARG,,7.0,,,,3.0,8.2,6.0,15.0,79.0,
-36.7,-65.28333333,ARG,,2.0,,,,3.6,8.0,6.0,12.0,82.0,
-36.7,-65.28333333,ARG,,3.0,,,,3.1,8.3,5.0,11.0,84.0,
-36.7,-65.28333333,ARG,,6.0,,,,2.5,8.5,5.0,11.0,84.0,
-37.05,-65.16666667,ARG,,,,,,3.4,7.1,8.0,19.0,73.0,
-37.05,-65.16666667,ARG,,,,,,1.1,7.3,4.0,7.0,89.0,
-39.31666667,-66.26666667,ARG,,,,,,,7.5,3.0,2.0,95.0,
-38.78333333,-63.76666667,ARG,,21.0,,,,15.7,8.2,20.0,29.0,51.0,
-38.78333333,-63.76666667,ARG,,47.0,,,,10.4,8.2,20.0,27.0,53.0,
-38.78333333,-63.76666667,ARG,,191.0,,,,8.7,8.3,,,,
-35.26666667,-64.86666667,ARG,,,,,,15.0,6.7,20.0,37.0,43.0,
-35.26666667,-64.86666667,ARG,,,,,,6.0,7.5,18.0,35.0,47.0,
-35.26666667,-64.86666667,ARG,,,,,,4.4,7.7,15.0,35.0,50.0,
-35.26666667,-64.86666667,ARG,,3.0,,,,3.5,8.4,15.0,35.0,50.0,
-35.76666667,-64.85,ARG,,,,,,10.4,7.0,13.0,25.0,62.0,
-35.76666667,-64.85,ARG,,,,,,6.7,7.4,12.0,24.0,64.0,
-35.76666667,-64.85,ARG,,11.0,,,,4.2,8.3,12.0,23.0,65.0,
-35.46666667,-64.18333333,ARG,,,,,,11.2,6.6,15.0,30.0,55.0,
-35.46666667,-64.18333333,ARG,,,,,,7.5,7.4,19.0,26.0,55.0,
-35.46666667,-64.18333333,ARG,,,,,,4.7,7.6,17.0,26.0,57.0,
-35.8,-64.16666667,ARG,,,,,,10.5,7.0,13.0,29.0,58.0,
-35.8,-64.16666667,ARG,,,,,,7.5,7.0,14.0,29.0,57.0,
-35.8,-64.16666667,ARG,,,,,,4.5,7.5,12.0,27.0,61.0,
-35.7,-65.1,ARG,,,,,,13.1,6.7,11.0,40.0,49.0,
-35.7,-65.1,ARG,,,,,,5.0,7.1,12.0,21.0,67.0,
-35.7,-65.1,ARG,,,,,,4.8,7.3,11.0,23.0,66.0,
-35.7,-65.1,ARG,,,,,,2.9,7.4,10.0,23.0,67.0,
-38.05,-63.51666667,ARG,,,1.0,,,13.0,,20.0,25.0,55.0,
-38.05,-63.51666667,ARG,,26.0,1.0,,,11.8,,16.0,30.0,54.0,
-38.05,-63.51666667,ARG,,60.0,7.0,,,10.9,,17.0,33.0,50.0,
-37.85,-58.26666667,ARG,,,,,,26.4,8.4,19.0,34.0,47.0,
-37.85,-58.26666667,ARG,,,,,,32.1,8.1,25.0,40.0,35.0,
-35.18333333,-63.81666667,ARG,,0.0,,,0.1,16.8,6.4,11.0,21.0,68.0,
-35.18333333,-63.81666667,ARG,,,,,,8.4,6.8,11.0,17.0,72.0,
-35.18333333,-63.81666667,ARG,,,,,,2.6,7.5,10.0,15.0,75.0,
-35.18333333,-63.81666667,ARG,,,,,,0.8,8.9,8.0,14.0,78.0,
-33.96666667,-59.37638889,ARG,,,,,,19.5,6.6,26.0,57.0,17.0,
-33.96666667,-59.37638889,ARG,,0.0,,,0.1,15.3,5.9,35.0,50.0,15.0,
-33.96666667,-59.37638889,ARG,,0.0,,,0.1,8.7,6.2,51.0,39.0,10.0,
-33.96666667,-59.37638889,ARG,,0.0,,,0.1,6.7,5.7,49.0,40.0,11.0,
-33.96666667,-59.37638889,ARG,,,,,,3.7,7.2,35.0,52.0,13.0,
-33.96666667,-59.37638889,ARG,,300.0,,,,2.5,8.3,,,,
-37.85,-58.26666667,ARG,,,,,,32.8,6.7,21.0,40.0,39.0,
-37.85,-58.26666667,ARG,,,,,,14.7,6.7,22.0,36.0,42.0,
-37.85,-58.26666667,ARG,,,,,,6.2,7.0,38.0,33.0,29.0,
-37.85,-58.26666667,ARG,,,,,,3.4,7.2,28.0,43.0,29.0,
-37.85,-58.26666667,ARG,,,,,,0.9,7.5,23.0,38.0,39.0,
-37.85,-58.26666667,ARG,,,,,,0.4,7.5,16.0,37.0,47.0,
-37.85,-58.26666667,ARG,,,,,,35.3,7.0,20.0,54.0,26.0,
-37.85,-58.26666667,ARG,,,,,,32.2,7.1,23.0,43.0,34.0,
-37.85,-58.26666667,ARG,,,,,,22.1,7.3,30.0,34.0,36.0,
-37.85,-58.26666667,ARG,,,,,,9.9,7.5,40.0,35.0,25.0,
-35.0,-58.45,ARG,,0.0,,,0.1,25.0,6.1,20.0,57.0,23.0,
-35.0,-58.45,ARG,,0.0,,,0.1,19.2,5.8,20.0,58.0,22.0,
-35.0,-58.45,ARG,,0.0,,,0.1,4.5,6.2,15.0,63.0,22.0,
-35.0,-58.45,ARG,,,,,,4.3,6.7,40.0,46.0,14.0,
-35.0,-58.45,ARG,,,,,,1.4,7.3,43.0,45.0,12.0,
-35.0,-58.45,ARG,,,,,,1.2,7.4,38.0,53.0,9.0,
-38.6,-64.88333333,ARG,,18.0,14.0,,,5.8,8.5,7.0,15.0,78.0,
-36.33333333,-66.03333333,ARG,,,,,,2.0,8.0,6.0,14.0,80.0,
-36.33333333,-66.03333333,ARG,,2.0,,,,2.0,8.3,6.0,15.0,79.0,
-36.33333333,-66.03333333,ARG,,4.0,,,,1.6,8.3,6.0,16.0,78.0,
-38.61666667,-65.15,ARG,,,,,0.7,4.3,7.4,7.0,13.0,80.0,
-38.61666667,-65.15,ARG,,,1.0,,5.1,2.5,8.1,9.0,13.0,78.0,
-38.61666667,-65.15,ARG,,29.0,7.0,,27.4,0.9,8.9,16.0,13.0,71.0,
-37.75,-65.81666667,ARG,,,,,1.3,2.4,7.1,7.0,6.0,87.0,
-37.75,-65.81666667,ARG,,,1.0,,3.3,1.4,8.5,8.0,7.0,85.0,
-37.75,-65.81666667,ARG,,,1.0,,9.2,1.4,8.7,14.0,11.0,75.0,
-36.26666667,-58.53333333,ARG,,,,,,27.2,7.5,21.0,53.0,26.0,
-36.26666667,-58.53333333,ARG,,,,,,7.1,8.5,55.0,28.0,17.0,
-36.26666667,-58.53333333,ARG,,,,,9.4,1.8,8.4,31.0,49.0,20.0,
-36.26666667,-58.53333333,ARG,,,,,3.8,0.2,8.7,31.0,49.0,20.0,
-36.26666667,-58.53333333,ARG,,,,,,26.1,8.0,21.0,42.0,37.0,
-36.26666667,-58.53333333,ARG,,,,,,8.7,8.6,23.0,36.0,41.0,
-36.26666667,-58.53333333,ARG,,,,,,4.9,9.1,41.0,26.0,33.0,
-36.26666667,-58.53333333,ARG,,5.0,3.0,,6.7,2.2,8.8,32.0,29.0,39.0,
-36.26666667,-58.53333333,ARG,,6.0,5.0,,4.0,0.4,8.5,31.0,42.0,27.0,
-36.26666667,-58.53333333,ARG,,,,,,41.5,6.7,32.0,43.0,25.0,
-36.26666667,-58.53333333,ARG,,,,,,7.5,8.0,65.0,23.0,12.0,
-36.26666667,-58.53333333,ARG,,,,,,0.8,8.5,34.0,39.0,27.0,
-36.26666667,-58.53333333,ARG,,,,,,,8.5,26.0,29.0,45.0,
-36.26666667,-58.53333333,ARG,,,,,,20.1,9.1,22.0,55.0,23.0,
-36.26666667,-58.53333333,ARG,,,,,,8.7,9.3,52.0,29.0,19.0,
-36.26666667,-58.53333333,ARG,,125.0,8.0,,,2.2,9.4,37.0,33.0,30.0,
-36.26666667,-58.53333333,ARG,,78.0,7.0,,3.4,1.4,9.5,36.0,39.0,25.0,
-37.85,-58.25,ARG,,,,,,,7.4,17.0,25.0,58.0,
-37.85,-58.25,ARG,,,,,,,7.5,16.0,25.0,59.0,
-37.85,-58.25,ARG,,,,,,,7.9,10.0,26.0,64.0,
-37.85,-58.25,ARG,,,,,,,8.3,24.0,23.0,53.0,
-37.85,-58.25,ARG,,21.0,,,,,8.8,18.0,23.0,59.0,
-37.85,-58.25,ARG,,,,,,,9.0,14.0,24.0,62.0,
-39.41666667,-62.75,ARG,,,,,,10.0,7.2,10.0,18.0,72.0,
-39.41666667,-62.75,ARG,,,,,,6.0,8.1,9.0,17.0,74.0,
-39.41666667,-62.75,ARG,,,,,,4.0,8.8,12.0,16.0,72.0,
-39.41666667,-62.75,ARG,,12.0,,,,2.0,8.8,11.0,17.0,72.0,
-39.41666667,-62.75,ARG,,22.0,,,,,8.8,10.0,16.0,74.0,
-39.41666667,-62.75,ARG,,24.0,,,,,9.0,9.0,16.0,75.0,
-39.41666667,-62.75,ARG,,223.0,,,,,9.2,14.0,13.0,73.0,
-34.55,-64.38333333,ARG,,16.0,,,,4.0,7.3,8.0,14.0,78.0,
-34.55,-64.38333333,ARG,,16.0,,,,2.5,7.5,7.0,13.0,80.0,
-34.55,-64.38333333,ARG,,16.0,,,,1.5,7.8,7.0,13.0,80.0,
-34.55,-64.38333333,ARG,,16.0,,,,1.0,8.2,5.0,11.0,84.0,
-34.65,-60.83333333,ARG,,,,,,10.0,6.6,17.0,36.0,47.0,
-34.65,-60.83333333,ARG,,,,,,5.0,6.7,18.0,33.0,49.0,
-34.65,-60.83333333,ARG,,,,,,4.0,6.8,20.0,32.0,48.0,
-34.65,-60.83333333,ARG,,,,,,2.5,6.8,19.0,34.0,47.0,
-34.65,-60.83333333,ARG,,,,,,2.0,6.9,16.0,33.0,51.0,
-34.65,-60.83333333,ARG,,,,,,1.5,7.0,11.0,36.0,53.0,
-34.65,-60.83333333,ARG,,,,,,1.0,7.1,10.0,33.0,57.0,
-25.06972222,-65.3,ARG,,0.0,,,0.1,66.0,5.2,15.0,35.0,50.0,
-25.06972222,-65.3,ARG,,0.0,,,0.1,6.0,5.5,8.0,50.0,42.0,
-25.06972222,-65.3,ARG,,0.0,,,0.1,5.0,4.9,37.0,17.0,46.0,
-25.06972222,-65.3,ARG,,0.0,,,0.1,2.0,4.6,25.0,25.0,50.0,
-24.6,-65.3,ARG,,0.0,,,0.1,13.0,,28.0,41.0,31.0,
-24.6,-65.3,ARG,,0.0,,,0.1,8.0,,33.0,34.0,33.0,
-24.6,-65.3,ARG,,0.0,,,0.1,10.0,,32.0,36.0,32.0,
-24.6,-65.3,ARG,,,90.0,,,,,,,,
-38.95,-64.12,ARG,,,,,,7.0,8.0,10.0,20.0,70.0,
-38.95,-64.12,ARG,,,,,,5.0,8.1,9.0,21.0,70.0,
-39.0,-68.94972222,ARG,,,10.0,,,2.0,7.3,17.0,25.0,58.0,
-39.0,-68.94972222,ARG,,,,,,2.0,7.4,14.0,39.0,47.0,
-39.0,-68.94972222,ARG,,,,,,,7.5,12.0,50.0,38.0,
-24.7,-65.09972222,ARG,,,4.0,,,15.0,7.4,21.0,38.0,41.0,
-24.7,-65.09972222,ARG,,,4.0,,,8.0,7.3,28.0,34.0,38.0,
-36.7,-65.27972222,ARG,,,,,,3.0,8.0,6.0,12.0,82.0,
-36.7,-65.27972222,ARG,,,,,,3.0,8.3,6.0,10.0,84.0,
-36.7,-65.27972222,ARG,,,,,,2.0,8.5,6.0,13.0,81.0,
-24.2,-64.8,ARG,,,,,,11.0,7.5,8.0,20.0,72.0,
-24.2,-64.8,ARG,,,,,,3.0,8.2,5.0,20.0,75.0,
-24.2,-64.8,ARG,,,,,,1.0,8.4,3.0,12.0,85.0,
-24.5,-65.08972222,ARG,,0.0,,,0.1,18.0,6.4,18.0,45.0,37.0,
-24.5,-65.08972222,ARG,,,,,,5.0,6.8,15.0,46.0,39.0,
-24.5,-65.08972222,ARG,,,,,,3.0,7.9,7.0,49.0,44.0,
-38.7,-64.27972222,ARG,,,,,,5.0,7.9,9.0,15.0,76.0,
-38.7,-64.27972222,ARG,,,,,,3.0,8.2,8.0,15.0,77.0,
-38.7,-64.27972222,ARG,,,,,,2.0,8.4,8.0,14.0,78.0,
-26.2,-64.16972222,ARG,,1.0,,,0.1,19.0,6.5,28.0,54.0,18.0,
-26.2,-64.16972222,ARG,,,,,,10.0,7.4,46.0,42.0,12.0,
-26.2,-64.16972222,ARG,,,,,,4.0,8.2,24.0,66.0,10.0,
-26.2,-64.16972222,ARG,,,,,,1.0,8.5,16.0,62.0,22.0,
-26.2,-64.16972222,ARG,,,,,,1.0,8.7,7.0,30.0,63.0,
-37.9,-67.58,ARG,,,,,,,8.4,4.0,9.0,87.0,
-37.9,-67.58,ARG,,,,,,,8.3,4.0,10.0,86.0,
-37.9,-67.58,ARG,,,,,,,8.9,6.0,8.0,86.0,
-24.5,-65.08972222,ARG,,0.0,,,0.1,9.0,5.8,17.0,34.0,49.0,
-24.5,-65.08972222,ARG,,0.0,,,0.1,7.0,5.9,23.0,33.0,44.0,
-24.5,-65.08972222,ARG,,0.0,,,0.1,5.0,6.0,29.0,31.0,40.0,
-24.5,-65.08972222,ARG,,,,,,1.0,6.6,17.0,48.0,35.0,
-31.7,-68.66972222,ARG,,,,,,2.0,7.6,49.0,49.0,2.0,
-31.7,-68.66972222,ARG,,,,,,4.0,7.5,41.0,54.0,5.0,
-31.7,-68.66972222,ARG,,,,,,3.0,7.5,38.0,60.0,2.0,
-31.7,-68.66972222,ARG,,,,,,1.0,7.5,9.0,51.0,40.0,
-43.95,-67.23,ARG,,,28.0,,,3.0,7.8,18.0,6.0,76.0,
-43.95,-67.23,ARG,,,28.0,,,5.0,8.0,48.0,12.0,40.0,
-43.95,-67.23,ARG,,,28.0,,,5.0,8.9,37.0,24.0,39.0,
-43.95,-67.23,ARG,,,,,,3.0,8.9,27.0,24.0,49.0,
-45.9,-69.15,ARG,,,28.0,,,8.0,7.7,9.0,7.0,84.0,
-45.9,-69.15,ARG,,,28.0,,,19.0,8.1,30.0,8.0,62.0,
-45.9,-69.15,ARG,,,25.0,,,9.0,8.2,,,,
-45.9,-69.15,ARG,,,28.0,,,2.0,8.5,,,,
-36.4,-61.59,ARG,,,,,,1.0,7.9,10.0,9.0,81.0,
-36.4,-61.59,ARG,,,,,,1.0,8.4,9.0,10.0,81.0,
-29.5,-65.62,ARG,,,,,,2.0,7.2,25.0,36.0,39.0,
-29.5,-65.62,ARG,,,,,,2.0,7.0,29.0,48.0,23.0,
-29.5,-65.62,ARG,,,,,,1.0,7.4,12.0,52.0,36.0,
-46.95,-66.94,ARG,,1.0,,,0.1,25.0,6.5,8.0,24.0,68.0,
-46.95,-66.94,ARG,,0.0,4.0,,0.1,22.0,6.4,10.0,24.0,66.0,
-46.95,-66.94,ARG,,,10.0,,,17.0,6.6,10.0,29.0,61.0,
-36.7,-62.9,ARG,,,,,,14.0,6.6,18.0,49.0,33.0,
-36.7,-62.9,ARG,,,,,,14.0,7.0,21.0,49.0,30.0,
-36.7,-62.9,ARG,,,,,,5.0,7.4,16.0,45.0,39.0,
-36.7,-62.9,ARG,,,,,,,7.6,15.0,45.0,40.0,
-36.45,-58.02972222,ARG,,1.0,,,0.1,42.0,6.5,24.0,33.0,43.0,
-36.45,-58.02972222,ARG,,,,,,23.0,7.3,26.0,32.0,42.0,
-36.45,-58.02972222,ARG,,,,,,7.0,7.0,22.0,28.0,50.0,
-36.45,-58.02972222,ARG,,,,,,4.0,7.9,42.0,23.0,35.0,
-36.45,-58.02972222,ARG,,,,,,1.0,9.1,23.0,27.0,50.0,
-45.15,-69.30972222,ARG,,,28.0,,,16.0,7.8,20.0,43.0,37.0,
-45.15,-69.30972222,ARG,,,28.0,,,9.0,8.0,18.0,42.0,40.0,
-29.5,-63.68,ARG,,,,,,17.0,7.7,1.0,31.0,68.0,
-29.5,-63.68,ARG,,,,,,9.0,7.9,1.0,41.0,58.0,
-28.35,-63.52,ARG,,,,,,8.0,6.9,1.0,31.0,68.0,
-28.35,-63.52,ARG,,,,,,4.0,7.8,1.0,27.0,72.0,
-28.35,-63.52,ARG,,,,,,2.0,7.8,1.0,36.0,63.0,
-28.75,-64.08,ARG,,0.0,,,0.1,14.0,6.3,40.0,33.0,27.0,
-28.75,-64.08,ARG,,,,,,5.0,6.7,26.0,24.0,50.0,
-28.75,-64.08,ARG,,,,,,3.0,6.8,23.0,34.0,43.0,
-27.6,-66.05,ARG,,,,,,1.0,7.9,1.0,15.0,84.0,
-27.6,-66.05,ARG,,,,,,1.0,8.5,3.0,31.0,66.0,
